algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
Judicious-Increase,16,0-part_59-s.repeats.hgr,48,98,0.03,4.75,km1,2072,236,2266,64,106,57,57,4.708e-05,0.00520153,0.00189208,0,0,7.079e-05,0.00134243,0.00152959
Judicious-Increase,16,0-part_59-l.repeats.hgr,48,98,0.03,3.41304,km1,6616,1490,6592,364,378,329,57,0.0002042,0.0279991,0.000849502,0,0,0.000390471,0.018311,0.00710513
Judicious-Increase,16,0-part_128-0.repeats.hgr,48,98,0.03,2.22222,km1,14238,2247,14278,539,594,486,126,7.396e-05,0.0221169,0.00118855,0,0,0.000244641,0.0130232,0.00642937
Judicious-Increase,16,0-part_128-s.repeats.hgr,48,98,0.03,3.2,km1,5792,539,5801,167,179,126,126,0.000148401,0.00657623,0.000407121,0,0,7.236e-05,0.00294886,0.00242793
Judicious-Increase,16,0-part_128-l.repeats.hgr,48,98,0.03,0.870968,km1,24723,3921,25151,1014,1080,998,126,0.00016645,0.0710992,0.00431772,0,0,0.0102814,0.0324263,0.0172105
Judicious-Increase,16,0-part_404-s.repeats.hgr,48,98,0.03,3.69231,km1,19342,1013,19337,505,531,412,402,0.000430291,0.0514559,0.00114173,0,0,0.00011967,0.027862,0.0192888
Judicious-Increase,16,0-part_404-l.repeats.hgr,48,98,0.03,2.13043,km1,38472,5956,38285,1694,1751,1575,402,0.000517601,0.145753,0.00392225,0,0,0.000649792,0.0920784,0.0397144
Judicious-Increase,16,0-part_sm_part1_170859.repeats.hgr,48,98,0.03,0.544382,km1,341590,53933,344825,11265,11892,11173,142,0.00296391,3.27373,0.0236673,0,0,1.8231,0.233616,0.708534
Judicious-Increase,16,0-part_sm_part3_31854.repeats.hgr,48,98,0.03,0.236446,km1,238923,44665,236309,8879,9136,8794,142,0.00103924,1.07099,0.024354,0,0,0.640122,0.172242,0.121295
Judicious-Increase,16,0-part_sm_part12_20753.repeats.hgr,48,98,0.03,0.101617,km1,219959,40573,219276,8018,8166,7960,142,0.000492931,0.762496,0.0135452,0,0,0.415498,0.158911,0.100637
Judicious-Increase,16,0-part_sm_part24_11756.repeats.hgr,48,98,0.03,0.391837,km1,184413,31825,184391,5946,6046,5892,142,0.00025158,0.449851,0.0036168,0,0,0.211223,0.135731,0.060081
Judicious-Increase,16,0-part_59-s.repeats.hgr,48,41,0.03,3.25,km1,2200,236,2271,83,106,57,57,2.761e-05,0.00336315,0.000128251,0,0,6.8481e-05,0.001379,0.00143623
Judicious-Increase,16,0-part_59-l.repeats.hgr,48,41,0.03,1.63043,km1,6252,1509,6291,355,369,323,57,3.91e-05,0.0278988,0.000579882,0,0,0.000390492,0.018598,0.00710651
Judicious-Increase,16,0-part_128-0.repeats.hgr,48,41,0.03,3.72222,km1,14232,2255,14271,552,571,481,126,0.00012242,0.0217424,0.000771092,0,0,0.00014339,0.0138147,0.0057585
Judicious-Increase,16,0-part_128-s.repeats.hgr,48,41,0.03,2.2,km1,5757,504,5742,174,178,126,126,3.896e-05,0.00615989,0.000226,0,0,8.552e-05,0.00301546,0.00225566
Judicious-Increase,16,0-part_128-l.repeats.hgr,48,41,0.03,0.532258,km1,25496,3949,25937,1030,1171,1015,126,0.00011533,0.0703547,0.00426678,0,0,0.0104897,0.0339061,0.0153449
Judicious-Increase,16,0-part_404-s.repeats.hgr,48,41,0.03,4.07692,km1,19710,1027,19731,521,525,402,402,0.00019424,0.0495488,0.000374361,0,0,0.00013799,0.0276152,0.0184224
Judicious-Increase,16,0-part_404-l.repeats.hgr,48,41,0.03,2.02174,km1,39377,5997,39714,1694,1756,1617,402,0.000467552,0.146539,0.00304578,0,0,0.000601201,0.0933819,0.0398115
Judicious-Increase,16,0-part_sm_part1_170859.repeats.hgr,48,41,0.03,0.598034,km1,363328,53292,363946,11713,12159,11612,142,0.00516871,3.3101,0.0177568,0,0,1.82155,0.248751,0.710363
Judicious-Increase,16,0-part_sm_part3_31854.repeats.hgr,48,41,0.03,0.204819,km1,247956,44307,247740,9072,9248,8989,142,0.000659252,0.966872,0.00865222,0,0,0.545898,0.178204,0.132756
Judicious-Increase,16,0-part_sm_part12_20753.repeats.hgr,48,41,0.03,0.189376,km1,224453,40689,224404,8116,8280,8043,142,0.00032852,0.754334,0.00580552,0,0,0.419469,0.160998,0.0948042
Judicious-Increase,16,0-part_sm_part24_11756.repeats.hgr,48,41,0.03,0.142857,km1,175086,31753,175155,5747,5815,5697,142,0.000286801,0.440088,0.00353406,0,0,0.21222,0.130639,0.0555534
Judicious-Increase,16,0-part_59-s.repeats.hgr,48,68,0.03,3,km1,2205,232,2205,85,85,57,57,2.077e-05,0.00492987,0.00137398,0,0,9.7451e-05,0.00136079,0.0015342
Judicious-Increase,16,0-part_59-l.repeats.hgr,48,68,0.03,1.58696,km1,6346,1470,6341,360,366,313,57,0.000164171,0.029101,0.000513242,0,0,0.000395221,0.0193537,0.00760294
Judicious-Increase,16,0-part_128-0.repeats.hgr,48,68,0.03,4,km1,14442,2239,14456,560,600,487,126,7.599e-05,0.0220075,0.000689831,0,0,0.000148441,0.0132235,0.00672776
Judicious-Increase,16,0-part_128-s.repeats.hgr,48,68,0.03,3.2,km1,5626,518,5705,162,182,126,126,8.9521e-05,0.00670345,0.000396821,0,0,8.147e-05,0.00295882,0.00261557
Judicious-Increase,16,0-part_128-l.repeats.hgr,48,68,0.03,0.564516,km1,25277,3932,25354,1026,1158,999,126,0.00018187,0.0726233,0.00762381,0,0,0.0106004,0.0332273,0.0148607
Judicious-Increase,16,0-part_404-s.repeats.hgr,48,68,0.03,4.23077,km1,19636,1017,19789,507,543,412,402,0.00027315,0.0522812,0.00141784,0,0,0.00015242,0.0283008,0.0192672
Judicious-Increase,16,0-part_404-l.repeats.hgr,48,68,0.03,2.21739,km1,41842,6103,42050,1767,1831,1633,402,0.000443011,0.143514,0.00360388,0,0,0.00116993,0.0959175,0.0329422
Judicious-Increase,16,0-part_sm_part1_170859.repeats.hgr,48,68,0.03,0.505899,km1,355871,53485,354670,11567,12061,11479,142,0.00138533,3.40637,0.0210138,0,0,1.82677,0.24053,0.820243
Judicious-Increase,16,0-part_sm_part3_31854.repeats.hgr,48,68,0.03,0.498494,km1,262105,44684,261884,9372,9585,9283,142,0.00154956,1.07993,0.00889283,0,0,0.636083,0.183496,0.134547
Judicious-Increase,16,0-part_sm_part12_20753.repeats.hgr,48,68,0.03,0.191686,km1,215343,40361,215432,7920,8077,7856,142,0.000818083,0.768949,0.00541779,0,0,0.42201,0.157829,0.111077
Judicious-Increase,16,0-part_sm_part24_11756.repeats.hgr,48,68,0.03,0.146939,km1,174970,31769,174906,5751,5820,5698,142,0.000270681,0.441843,0.00326109,0,0,0.212061,0.130636,0.0571865
Judicious-Increase,16,0-part_59-s.repeats.hgr,160,122,0.03,0,km1,0,0,0,57,57,57,57,0,7.9e-07,0,0,0,0,0,0
Judicious-Increase,16,0-part_59-l.repeats.hgr,160,122,0.03,5.07143,km1,13687,1847,13717,165,175,125,57,8.068e-05,0.0615788,0.00115747,0,0,0.000946393,0.0505819,0.00637732
Judicious-Increase,16,0-part_128-0.repeats.hgr,160,122,0.03,5.66667,km1,27085,2355,27103,290,297,184,126,0.00019822,0.0413999,0.000845752,0,0,0.000703482,0.0304385,0.00706414
Judicious-Increase,16,0-part_128-s.repeats.hgr,160,122,0.03,2.5,km1,16470,570,16470,126,126,0,126,0.00016633,0.0114764,0.00019243,0,0,0.000265441,0.00764168,0.00237954
Judicious-Increase,16,0-part_128-l.repeats.hgr,160,122,0.03,1.68421,km1,45651,4052,45600,483,514,394,126,0.00023742,0.170127,0.000647232,0,0,0.00107787,0.142151,0.015504
