algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
FM,16,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,48,42,0.03,0.0295918,km1,9713,9411,11633,22249,22205,2618,979,0,0.189878,0,0.0355858,0.00444081,0.0286421,0.0771669,0.0357559
FM,16,wb-edu.mtx.hgr,48,42,0.03,0.0299971,km1,178731,124298,230622,211913,210596,97417,25762,0,10.4522,0,5.11551,0.36563,1.65947,1.15619,1.41801
FM,16,sat14_dated-10-11-u.cnf.dual.hgr,48,42,0.03,0.0204362,km1,8951,8665,11351,3390,3403,2109,10,0,0.64493,0,0.375526,0.0237743,0.073945,0.0745815,0.0584765
FM,16,sat14_atco_enc1_opt1_05_21.cnf.primal.hgr,48,42,0.03,0.0298387,km1,15258,14971,18399,56908,56991,3084,1031,0,0.271533,0,0.0539765,0.00887484,0.0461054,0.089631,0.0587383
FM,16,sat14_MD5-28-2.cnf.dual.hgr,48,42,0.03,0.0291411,km1,2752,2376,3572,351,364,191,6,0,0.227433,0,0.131766,0.00779406,0.0156462,0.0552272,0.01293
FM,16,Lin.mtx.hgr,48,42,0.03,0.0299963,km1,50052,45466,80317,7005,7879,5721,7,0,0.749949,0,0.397241,0.0273421,0.0671062,0.160321,0.0779139
FM,16,ISPD98_ibm07.hgr,48,42,0.03,0.0292581,km1,10545,8554,13927,1900,1888,796,98,0,0.244096,0,0.100591,0.00718228,0.0131182,0.0969016,0.0210541
FM,16,sat14_q_query_3_L200_coli.sat.cnf.hgr,48,42,0.03,0.0299789,km1,1798873,1711061,2006481,260803,275121,35392,76677,0,5.80246,0,2.7016,0.397219,0.460698,1.56358,0.539051
FM,16,Reuters911.mtx.hgr,48,42,0.03,0.028777,km1,71374,11930,83229,7743,7420,94,2265,0,0.687768,0,0.156551,0.0426401,0.0640493,0.399235,0.0224293
FM,16,Rucci1.mtx.hgr,48,42,0.03,0.0296943,km1,348326,332589,469066,54071,57340,40839,108,0,1.31066,0,0.691064,0.0345284,0.132608,0.165148,0.244049
FM,16,sat14_aaai10-planning-ipc5-pathways-17-step21.cnf.hgr,48,42,0.03,0.0298175,km1,17619,17019,24351,16040,16239,314,67,0,0.34284,0,0.131153,0.0148589,0.040231,0.098497,0.0426466
FM,16,sat14_gss-19-s100.cnf.hgr,48,42,0.03,0.029771,km1,6958,6204,9450,2426,2456,1826,56,0,0.151147,0,0.0287441,0.006799,0.0168422,0.0699492,0.0238665
FM,16,H2O.mtx.hgr,48,42,0.03,0.0293486,km1,142728,60052,198779,5823,7337,1828,37,0,2.39744,0,1.16373,0.0827684,0.113393,0.965124,0.0629442
