algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
FM,16,0-part_59-s.repeats.hgr,48,85,0.03,0,km1,2394,229,2567,116,139,57,57,0,0.037302,0,0.00152197,0.000482697,6.4405e-05,0.0330773,0.00152186
FM,16,0-part_59-l.repeats.hgr,48,85,0.03,0.0217391,km1,4888,1122,5030,925,927,57,57,0,0.2127,0,0.00542826,0.00226226,0.000567107,0.195178,0.00835437
FM,16,0-part_128-0.repeats.hgr,48,85,0.03,0,km1,12700,2085,12605,1203,1203,126,126,0,0.184909,0,0.00254851,0.00173891,0.000174446,0.171322,0.00818201
FM,16,0-part_128-s.repeats.hgr,48,85,0.03,0,km1,5680,499,5864,204,223,126,126,0,0.0734175,0,0.00240721,0.00174071,0.000117146,0.0639201,0.00434311
FM,16,0-part_128-l.repeats.hgr,48,85,0.03,0.016129,km1,20794,3140,21491,1449,1426,262,126,0,0.431384,0,0.0331406,0.0224605,0.0149077,0.332328,0.0261396
FM,16,0-part_404-s.repeats.hgr,48,85,0.03,0,km1,19386,916,19397,848,848,402,402,0,0.386641,0,0.00690979,0.00470393,0.000156187,0.34399,0.0303154
FM,16,0-part_404-l.repeats.hgr,48,85,0.03,0.0217391,km1,30815,4843,31199,3944,3847,402,402,0,0.872419,0,0.027173,0.0286143,0.00179296,0.752362,0.0606332
FM,16,0-part_sm_part1_170859.repeats.hgr,48,85,0.03,0.0297753,km1,207955,55372,250922,17120,16087,827,142,0,12.8834,0,3.93446,1.58025,2.73293,3.12369,1.45686
FM,16,0-part_sm_part3_31854.repeats.hgr,48,85,0.03,0.0286145,km1,188149,47143,209814,10388,10345,2616,142,0,5.14405,0,0.972415,0.561705,0.905822,2.37791,0.286407
FM,16,0-part_sm_part12_20753.repeats.hgr,48,85,0.03,0.0277136,km1,178073,43480,195948,9057,8997,2147,142,0,3.71845,0,0.447684,0.364814,0.606219,2.11824,0.153788
FM,16,0-part_sm_part24_11756.repeats.hgr,48,85,0.03,0.0285714,km1,155103,32877,165182,6917,6955,1610,142,0,2.42543,0,0.221482,0.211024,0.298404,1.57602,0.100704
FM,16,0-part_59-s.repeats.hgr,48,46,0.03,0,km1,2428,225,2537,112,161,57,57,0,0.0372578,0,0.00182282,0.000416397,6.9858e-05,0.0327111,0.00163185
FM,16,0-part_59-l.repeats.hgr,48,46,0.03,0.0217391,km1,4932,1140,4984,924,924,57,57,0,0.21704,0,0.00287905,0.00178722,0.000524214,0.200587,0.0102993
FM,16,0-part_128-0.repeats.hgr,48,46,0.03,0,km1,12394,2082,12498,1292,1292,126,126,0,0.18982,0,0.0025825,0.00208245,0.000172681,0.175869,0.00827148
FM,16,0-part_128-s.repeats.hgr,48,46,0.03,0,km1,5705,505,5925,204,267,126,126,0,0.0708461,0,0.00242582,0.00116544,9.797e-05,0.062035,0.00417747
