algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
Judicious-Increase,16,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,2,49,0.03,0.0302592,km1,2349,2349,2499,136590,137328,136590,979,0.000194741,0.0688834,0.000649473,0,0,0.0271488,0.000489872,0.033159
Judicious-Increase,16,wb-edu.mtx.hgr,2,49,0.03,0,km1,112962,112962,116129,3516653,3526358,3516615,25762,0.0850838,4.09934,0.189287,0,0,1.5701,0.417969,1.61785
Judicious-Increase,16,sat14_dated-10-11-u.cnf.dual.hgr,2,49,0.03,0.00118514,km1,4542,4542,4683,73201,73433,73201,10,0.00115389,0.155054,0.00296377,0,0,0.0738329,0.000998104,0.0585444
Judicious-Increase,16,sat14_atco_enc1_opt1_05_21.cnf.primal.hgr,2,49,0.03,0.0187506,km1,10982,10982,11325,286392,288999,286374,1031,0.000601253,0.123434,0.00169559,0,0,0.0456557,0.000790053,0.0638386
Judicious-Increase,16,sat14_MD5-28-2.cnf.dual.hgr,2,49,0.03,0.0363846,km1,916,916,957,4599,4639,4598,6,0.000572863,0.0337534,0.00154196,0,0,0.0173407,0.000329081,0.0120228
Judicious-Increase,16,Lin.mtx.hgr,2,49,0.03,0.00059375,km1,15442,15442,18542,135722,138373,135720,7,0.00186788,0.167554,0.00451533,0,0,0.0664977,0.000646992,0.0785592
Judicious-Increase,16,ISPD98_ibm07.hgr,2,49,0.03,0.0135871,km1,3461,3461,3673,25791,26244,25787,98,0.000533132,0.0428309,0.0016356,0,0,0.0162004,0.000722462,0.0207175
Judicious-Increase,16,sat14_q_query_3_L200_coli.sat.cnf.hgr,2,49,0.03,0.0278028,km1,633243,633243,702154,2073425,2146114,2073151,76677,0.0154029,1.3709,0.0447922,0,0,0.474651,0.0755851,0.538124
Judicious-Increase,16,Reuters911.mtx.hgr,2,49,0.03,0.0117012,km1,9036,9036,9053,11177,11212,11173,2265,0.000341002,0.0780203,0.0019647,0,0,0.0481194,0.00416684,0.0207055
Judicious-Increase,16,Rucci1.mtx.hgr,2,49,0.03,0.00653321,km1,123667,123667,148533,1050779,1073297,1050773,108,0.00126332,0.42421,0.0029465,0,0,0.128783,0.0017959,0.243473
Judicious-Increase,16,sat14_aaai10-planning-ipc5-pathways-17-step21.cnf.hgr,2,49,0.03,0.064022,km1,10522,10522,11223,159379,163233,159378,67,0.00108866,0.100053,0.00339354,0,0,0.0395734,0.000744573,0.0436481
Judicious-Increase,16,sat14_gss-19-s100.cnf.hgr,2,49,0.03,0.00547161,km1,3859,3859,4293,49213,49780,49194,56,0.000658712,0.0495873,0.00172948,0,0,0.0191178,0.000362091,0.0240562
Judicious-Increase,16,H2O.mtx.hgr,2,49,0.03,0.0127119,km1,31905,31905,37478,49466,52896,49463,37,0.00142632,0.192109,0.0080913,0,0,0.101523,0.00823534,0.0627701
Judicious-Increase,16,sat14_velev-vliw-uns-4.0-9.cnf.hgr,2,49,0.03,0.0781684,km1,365683,365683,414533,1089976,1118663,1089896,17751,0.00565541,0.444889,0.0114448,0,0,0.168215,0.00525034,0.205374
