algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
Judicious-Increase-better-tiebreaking,16,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,48,69,0.03,0.296939,km1,109936,88393,133543,7982,9735,7904,979,0.000360342,0.109583,0.0207741,0,0,0.0261514,0.0198252,0.0328054
Judicious-Increase-better-tiebreaking,16,wb-edu.mtx.hgr,48,69,0.03,0,km1,589366,414010,599631,157132,172979,156071,25762,0.0215727,15.1495,0.25544,0,0,1.65706,10.851,1.41902
Judicious-Increase-better-tiebreaking,16,sat14_dated-10-11-u.cnf.dual.hgr,48,69,0.03,0.101418,km1,19127,14675,19174,3362,3404,3347,10,0.00194832,0.219689,0.00626617,0,0,0.0758498,0.0194455,0.0593982
Judicious-Increase-better-tiebreaking,16,sat14_atco_enc1_opt1_05_21.cnf.primal.hgr,48,69,0.03,0.368548,km1,225757,186438,264993,16504,18962,16350,1031,0.000255021,0.169814,0.0125811,0,0,0.0476262,0.0232191,0.0636322
Judicious-Increase-better-tiebreaking,16,sat14_MD5-28-2.cnf.dual.hgr,48,69,0.03,0.0927914,km1,4321,2980,4398,263,271,261,6,0.000168871,0.0517283,0.00502011,0,0,0.016252,0.0126312,0.0126255
Judicious-Increase-better-tiebreaking,16,Lin.mtx.hgr,48,69,0.03,0.0789276,km1,112881,95523,114749,7724,7855,7657,7,0.000711302,0.212479,0.00408566,0,0,0.0717813,0.0253176,0.0770216
Judicious-Increase-better-tiebreaking,16,ISPD98_ibm07.hgr,48,69,0.03,0.188088,km1,21358,13817,21368,1455,1540,1442,98,0.00018711,0.0630627,0.00289828,0,0,0.0143474,0.0187035,0.0204486
Judicious-Increase-better-tiebreaking,16,sat14_q_query_3_L200_coli.sat.cnf.hgr,48,69,0.03,0.26566,km1,3191125,2805643,3192779,140462,193376,139308,76677,0.018754,4.38489,0.160164,0,0,0.469154,2.79277,0.549711
Judicious-Increase-better-tiebreaking,16,Reuters911.mtx.hgr,48,69,0.03,0.604317,km1,103139,11912,102836,2440,3375,2419,2265,0.00111583,0.188541,0.00610946,0,0,0.0639786,0.0809263,0.0225604
Judicious-Increase-better-tiebreaking,16,Rucci1.mtx.hgr,48,69,0.03,0.0925764,km1,756593,697797,772275,57191,58689,56773,108,0.000471992,0.490027,0.00314369,0,0,0.138903,0.0299851,0.247648
Judicious-Increase-better-tiebreaking,16,sat14_aaai10-planning-ipc5-pathways-17-step21.cnf.hgr,48,69,0.03,0.136627,km1,120779,116649,121286,8989,9250,8904,67,0.000439522,0.149118,0.00294133,0,0,0.0434124,0.028283,0.0481073
Judicious-Increase-better-tiebreaking,16,sat14_gss-19-s100.cnf.hgr,48,69,0.03,0.0526718,km1,25386,23219,25485,2511,2669,2488,56,0.00016478,0.0739073,0.00327996,0,0,0.0190093,0.0194496,0.0251563
Judicious-Increase-better-tiebreaking,16,H2O.mtx.hgr,48,69,0.03,0.510379,km1,253137,66448,253894,6688,6898,6646,37,0.000335671,0.284973,0.00832217,0,0,0.11498,0.0713708,0.0595394
Judicious-Increase-better-tiebreaking,16,sat14_velev-vliw-uns-4.0-9.cnf.hgr,48,69,0.03,0.634731,km1,1935456,1474947,1949622,78530,87987,77844,17751,0.00274267,1.03909,0.0592744,0,0,0.218011,0.366847,0.222912
Judicious-Increase-better-tiebreaking,16,sat14_atco_enc2_opt1_15_100.cnf.hgr,48,69,0.03,0.298361,km1,158532,138289,161011,15509,17120,15358,517,0.000635933,0.307394,0.0353625,0,0,0.0485926,0.135521,0.0649626
Judicious-Increase-better-tiebreaking,16,sat14_q_query_3_L100_coli.sat.cnf.dual.hgr,48,69,0.03,0.38391,km1,45896,9757,45216,7543,7673,7524,11,0.00408095,1.02492,0.0145707,0,0,0.618739,0.0468025,0.159829
Judicious-Increase-better-tiebreaking,16,sat14_manol-pipe-c10nid_i.cnf.hgr,48,69,0.03,0.0641513,km1,232267,218604,228267,20625,22087,20425,2067,0.00180875,0.433514,0.0693517,0,0,0.112567,0.0374822,0.129083
Judicious-Increase-better-tiebreaking,16,Baumann.mtx.hgr,48,69,0.03,0.078272,km1,52805,44729,53306,3450,3506,3425,7,0.000263001,0.107115,0.00215421,0,0,0.0329805,0.0195825,0.038236
Judicious-Increase-better-tiebreaking,16,sat14_gss-18-s100.cnf.hgr,48,69,0.03,0.055088,km1,26318,24142,26590,2521,2721,2502,39,0.000168421,0.0733705,0.00214534,0,0,0.0197162,0.0199089,0.0242893
Judicious-Increase-better-tiebreaking,16,2D_54019_highK.mtx.hgr,48,69,0.03,0.142984,km1,19047,16568,19953,1527,1685,1515,164,0.00014861,0.0625294,0.00423255,0,0,0.018353,0.0150241,0.0174787
Judicious-Increase-better-tiebreaking,16,sat14_manol-pipe-c10nid_i.cnf.primal.hgr,48,69,0.03,0.0691884,km1,227920,216546,223470,20521,23787,20318,4133,0.00129293,0.26745,0.0284584,0,0,0.0718461,0.028846,0.0964062
Judicious-Increase-better-tiebreaking,16,sat14_atco_enc3_opt2_10_12.cnf.hgr,48,69,0.03,0.0432132,km1,621549,600032,636019,116208,121718,115437,393,0.00508884,1.54791,0.0247588,0,0,0.494649,0.0337689,0.679832
Judicious-Increase-better-tiebreaking,16,ISPD98_ibm09.hgr,48,69,0.03,0.141959,km1,23114,15752,23245,1759,1892,1744,173,0.000207211,0.0666985,0.0021207,0,0,0.0155232,0.0183335,0.022466
