algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
Judicious-Increase-better-tiebreaking,16,0-part_59-s.repeats.hgr,48,77,0.03,3,km1,2093,236,2191,69,91,57,57,8.9204e-05,0.0154537,0.00212539,0,0,6.8677e-05,0.00891191,0.00378796
Judicious-Increase-better-tiebreaking,16,0-part_59-l.repeats.hgr,48,77,0.03,1.8913,km1,6482,1531,6519,356,375,332,57,0.000181697,0.0388681,0.00174289,0,0,0.000184097,0.0268967,0.00833802
Judicious-Increase-better-tiebreaking,16,0-part_128-0.repeats.hgr,48,77,0.03,4.55556,km1,14083,2254,14079,547,564,478,126,0.000132627,0.0322922,0.000785155,0,0,0.000458202,0.0204713,0.00883869
Judicious-Increase-better-tiebreaking,16,0-part_128-s.repeats.hgr,48,77,0.03,2.4,km1,5721,510,5721,181,181,126,126,0.00010647,0.00934933,0.000132069,0,0,9.4186e-05,0.00426895,0.00407974
Judicious-Increase-better-tiebreaking,16,0-part_128-l.repeats.hgr,48,77,0.03,0.532258,km1,23729,3570,23568,999,1043,953,126,0.000198648,0.0991655,0.00476321,0,0,0.0152946,0.0485797,0.0220328
Judicious-Increase-better-tiebreaking,16,0-part_404-s.repeats.hgr,48,77,0.03,3.76923,km1,19452,1062,19464,490,509,402,402,0.000467011,0.0690374,0.00177785,0,0,0.000207294,0.0349579,0.0279411
Judicious-Increase-better-tiebreaking,16,0-part_404-l.repeats.hgr,48,77,0.03,2.13043,km1,40909,5818,40824,1739,1779,1586,402,0.000623459,0.206142,0.00418309,0,0,0.00116751,0.120455,0.0671806
Judicious-Increase-better-tiebreaking,16,0-part_sm_part1_170859.repeats.hgr,48,77,0.03,0.464888,km1,345475,53066,344288,11343,11687,11263,142,0.0045617,4.90324,0.0420642,0,0,2.4876,0.353291,1.32958
Judicious-Increase-better-tiebreaking,16,0-part_sm_part3_31854.repeats.hgr,48,77,0.03,0.26506,km1,249798,44508,249834,9112,9363,9034,142,0.0014757,1.43122,0.0119863,0,0,0.754506,0.236224,0.290792
Judicious-Increase-better-tiebreaking,16,0-part_sm_part12_20753.repeats.hgr,48,77,0.03,0.228637,km1,229052,40688,229306,8214,8360,8145,142,0.000574316,1.06765,0.00911586,0,0,0.594303,0.219298,0.143431
Judicious-Increase-better-tiebreaking,16,0-part_sm_part24_11756.repeats.hgr,48,77,0.03,0.440816,km1,185425,31840,185282,5968,6051,5918,142,0.000802122,0.62124,0.00749448,0,0,0.30095,0.173226,0.0863428
Judicious-Increase-better-tiebreaking,16,0-part_59-s.repeats.hgr,48,98,0.03,4,km1,2072,249,2239,64,88,57,57,8.8378e-05,0.00631676,0.00215342,0,0,6.9073e-05,0.00211421,0.0014316
Judicious-Increase-better-tiebreaking,16,0-part_59-l.repeats.hgr,48,98,0.03,1.82609,km1,6082,1504,6097,351,366,319,57,7.854e-05,0.039881,0.000948803,0,0,0.000134506,0.0281031,0.00899331
