algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
Judicious-Increase,16,0-part_59-s.repeats.hgr,48,98,0.03,4.75,km1,2072,236,2266,64,106,57,57,4.708e-05,0.00520153,0.00189208,0,0,7.079e-05,0.00134243,0.00152959
Judicious-Increase,16,0-part_59-l.repeats.hgr,48,98,0.03,3.41304,km1,6616,1490,6592,364,378,329,57,0.0002042,0.0279991,0.000849502,0,0,0.000390471,0.018311,0.00710513
Judicious-Increase,16,0-part_128-0.repeats.hgr,48,98,0.03,2.22222,km1,14238,2247,14278,539,594,486,126,7.396e-05,0.0221169,0.00118855,0,0,0.000244641,0.0130232,0.00642937
Judicious-Increase,16,0-part_128-s.repeats.hgr,48,98,0.03,3.2,km1,5792,539,5801,167,179,126,126,0.000148401,0.00657623,0.000407121,0,0,7.236e-05,0.00294886,0.00242793
Judicious-Increase,16,0-part_128-l.repeats.hgr,48,98,0.03,0.870968,km1,24723,3921,25151,1014,1080,998,126,0.00016645,0.0710992,0.00431772,0,0,0.0102814,0.0324263,0.0172105
Judicious-Increase,16,0-part_404-s.repeats.hgr,48,98,0.03,3.69231,km1,19342,1013,19337,505,531,412,402,0.000430291,0.0514559,0.00114173,0,0,0.00011967,0.027862,0.0192888
Judicious-Increase,16,0-part_404-l.repeats.hgr,48,98,0.03,2.13043,km1,38472,5956,38285,1694,1751,1575,402,0.000517601,0.145753,0.00392225,0,0,0.000649792,0.0920784,0.0397144
Judicious-Increase,16,0-part_sm_part1_170859.repeats.hgr,48,98,0.03,0.544382,km1,341590,53933,344825,11265,11892,11173,142,0.00296391,3.27373,0.0236673,0,0,1.8231,0.233616,0.708534
Judicious-Increase,16,0-part_sm_part3_31854.repeats.hgr,48,98,0.03,0.236446,km1,238923,44665,236309,8879,9136,8794,142,0.00103924,1.07099,0.024354,0,0,0.640122,0.172242,0.121295
Judicious-Increase,16,0-part_sm_part12_20753.repeats.hgr,48,98,0.03,0.101617,km1,219959,40573,219276,8018,8166,7960,142,0.000492931,0.762496,0.0135452,0,0,0.415498,0.158911,0.100637
Judicious-Increase,16,0-part_sm_part24_11756.repeats.hgr,48,98,0.03,0.391837,km1,184413,31825,184391,5946,6046,5892,142,0.00025158,0.449851,0.0036168,0,0,0.211223,0.135731,0.060081
Block-Load,16,0-part_59-s.repeats.hgr,48,98,0.03,4.5,km1,2072,249,3011,64,110,57,57,7.345e-05,0.00652598,0.00317062,0,0,6.6691e-05,0.00140629,0.00152224
Block-Load,16,0-part_59-l.repeats.hgr,48,98,0.03,3.54348,km1,7384,1896,7815,376,403,340,57,8.123e-05,0.0288953,0.00158976,0,0,0.000429801,0.0187691,0.00683037
Block-Load,16,0-part_128-0.repeats.hgr,48,98,0.03,2.33333,km1,15461,2366,17084,560,646,506,126,0.0001281,0.0259022,0.00370677,0,0,0.000267541,0.0137962,0.00683926
Block-Load,16,0-part_128-s.repeats.hgr,48,98,0.03,2,km1,6329,565,7052,175,224,126,126,5.899e-05,0.00772752,0.00104755,0,0,7.856e-05,0.00329188,0.00274078
Block-Load,16,0-part_128-l.repeats.hgr,48,98,0.03,0.725806,km1,26218,4036,26400,1048,1173,1027,126,0.000144,0.0678359,0.00306418,0,0,0.0100964,0.0338029,0.0146407
Block-Load,16,0-part_404-s.repeats.hgr,48,98,0.03,5.92308,km1,20219,1079,21572,528,569,412,402,0.000408041,0.0550937,0.0039393,0,0,0.00018733,0.0295658,0.0181795
Block-Load,16,0-part_404-l.repeats.hgr,48,98,0.03,2.13043,km1,40808,6796,41759,1737,1864,1588,402,0.000570621,0.151041,0.00503457,0,0,0.000656722,0.095803,0.0398973
Block-Load,16,0-part_sm_part1_170859.repeats.hgr,48,98,0.03,0.639888,km1,362562,54185,369239,11696,12688,11614,142,0.00151665,3.37765,0.0221084,0,0,1.83146,0.251476,0.760735
Block-Load,16,0-part_sm_part3_31854.repeats.hgr,48,98,0.03,0.427711,km1,261129,44474,261657,9344,9619,9272,142,0.000536111,1.01078,0.0142317,0,0,0.538984,0.18787,0.165891
Block-Load,16,0-part_sm_part12_20753.repeats.hgr,48,98,0.03,0.214781,km1,231406,40855,232037,8258,8399,8193,142,0.000570482,0.765209,0.007267,0,0,0.427584,0.168596,0.0857371
Block-Load,16,0-part_sm_part24_11756.repeats.hgr,48,98,0.03,0.0979592,km1,174722,31666,174834,5740,5917,5692,142,0.00029397,0.441444,0.00366171,0,0,0.211108,0.130856,0.0584112
Penalty,16,0-part_59-s.repeats.hgr,48,98,0.03,8.75,km1,2123,216,57,88,671,57,57,0.00194948,0.00990601,0.00736853,0,0,8.075e-05,0.000659962,0.00148311
Penalty,16,0-part_59-l.repeats.hgr,48,98,0.03,3.47826,km1,8476,2124,57,396,10205,374,57,0.0541723,0.074999,0.0572494,0,0,0.00015067,0.0103306,0.00662983
Penalty,16,0-part_128-0.repeats.hgr,48,98,0.03,5.38889,km1,16378,2290,126,586,10853,537,126,0.0377359,0.0529106,0.039466,0,0,0.00026341,0.00603948,0.00653402
Penalty,16,0-part_128-s.repeats.hgr,48,98,0.03,7.6,km1,5384,495,126,156,1170,126,126,0.00649138,0.0113704,0.00688573,0,0,8.7321e-05,0.00106554,0.00301699
Penalty,16,0-part_128-l.repeats.hgr,48,98,0.03,0.741935,km1,28454,4140,120,1089,23612,1079,126,0.125201,0.17114,0.129028,0,0,0.0102964,0.0109006,0.0155689
Penalty,16,0-part_404-s.repeats.hgr,48,98,0.03,12.7692,km1,18504,1033,402,475,2525,402,402,0.0691749,0.0987456,0.0727665,0,0,0.000184961,0.00682719,0.0182913
Penalty,16,0-part_404-l.repeats.hgr,48,98,0.03,5.63043,km1,43457,7146,387,1772,40633,1709,402,0.282609,0.354159,0.285072,0,0,0.000582752,0.026944,0.0397616
Penalty,16,0-part_sm_part1_170859.repeats.hgr,48,98,0.03,1.36545,km1,365789,53503,142,11751,196836,11693,142,0.672687,3.90265,0.689272,0,0,1.82075,0.054895,0.824472
Penalty,16,0-part_sm_part3_31854.repeats.hgr,48,98,0.03,0.518072,km1,268167,44935,161,9498,185655,9413,142,0.555759,1.3819,0.566527,0,0,0.545339,0.0412445,0.130756
Penalty,16,0-part_sm_part12_20753.repeats.hgr,48,98,0.03,0.468822,km1,244730,40741,120,8541,163492,8467,142,0.527014,1.1607,0.5341,0,0,0.426507,0.0381017,0.0915765
Penalty,16,0-part_sm_part24_11756.repeats.hgr,48,98,0.03,0.314286,km1,192540,32012,125,6104,99696,6054,142,0.442692,0.787893,0.453193,0,0,0.211474,0.0296229,0.0598838
Judicious-Increase,16,0-part_59-s.repeats.hgr,48,41,0.03,3.25,km1,2200,236,2271,83,106,57,57,2.761e-05,0.00336315,0.000128251,0,0,6.8481e-05,0.001379,0.00143623
Judicious-Increase,16,0-part_59-l.repeats.hgr,48,41,0.03,1.63043,km1,6252,1509,6291,355,369,323,57,3.91e-05,0.0278988,0.000579882,0,0,0.000390492,0.018598,0.00710651
Judicious-Increase,16,0-part_128-0.repeats.hgr,48,41,0.03,3.72222,km1,14232,2255,14271,552,571,481,126,0.00012242,0.0217424,0.000771092,0,0,0.00014339,0.0138147,0.0057585
Judicious-Increase,16,0-part_128-s.repeats.hgr,48,41,0.03,2.2,km1,5757,504,5742,174,178,126,126,3.896e-05,0.00615989,0.000226,0,0,8.552e-05,0.00301546,0.00225566
Judicious-Increase,16,0-part_128-l.repeats.hgr,48,41,0.03,0.532258,km1,25496,3949,25937,1030,1171,1015,126,0.00011533,0.0703547,0.00426678,0,0,0.0104897,0.0339061,0.0153449
