algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
Judicious-Increase-non-random,16,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,48,77,0.03,0.297959,km1,94635,80913,121196,7647,9850,7576,979,0.000350262,0.103652,0.0168882,0,0,0.0248296,0.018672,0.0335266
Judicious-Increase-non-random,16,wb-edu.mtx.hgr,48,77,0.03,0.00126755,km1,611499,430543,617137,157602,175843,156528,25762,0.0218408,7.55549,0.241956,0,0,1.64133,3.28977,1.43683
Judicious-Increase-non-random,16,sat14_dated-10-11-u.cnf.dual.hgr,48,77,0.03,0.0847186,km1,19179,14216,19153,3365,3404,3349,10,0.00199982,0.21905,0.00664687,0,0,0.0793842,0.0172451,0.0595836
Judicious-Increase-non-random,16,sat14_atco_enc1_opt1_05_21.cnf.primal.hgr,48,77,0.03,0.217742,km1,276309,228494,288925,17539,19660,17396,1031,0.00025136,0.152282,0.0050291,0,0,0.0466102,0.0206318,0.059209
Judicious-Increase-non-random,16,sat14_MD5-28-2.cnf.dual.hgr,48,77,0.03,0.13727,km1,4634,3135,4746,270,279,268,6,0.000172791,0.051622,0.00584428,0,0,0.0164357,0.011938,0.0124722
Judicious-Increase-non-random,16,Lin.mtx.hgr,48,77,0.03,0.0980502,km1,111919,95570,114210,7688,7876,7638,7,0.000714233,0.211842,0.00469648,0,0,0.0711636,0.0223489,0.0790755
Judicious-Increase-non-random,16,ISPD98_ibm07.hgr,48,77,0.03,0.317659,km1,22282,14098,22308,1472,1548,1462,98,0.000240952,0.0584187,0.00199558,0,0,0.0135934,0.0162098,0.0209856
Judicious-Increase-non-random,16,sat14_q_query_3_L200_coli.sat.cnf.hgr,48,77,0.03,0.233177,km1,3214260,2806847,3209347,152137,193192,133550,76677,0.0358001,3.0038,0.544016,0,0,0.482068,1.02453,0.549915
Judicious-Increase-non-random,16,Reuters911.mtx.hgr,48,77,0.03,0.248201,km1,103496,11952,103134,2802,3376,2255,2265,0.00233352,0.188122,0.0091139,0,0,0.065086,0.077548,0.0214352
Judicious-Increase-non-random,16,Rucci1.mtx.hgr,48,77,0.03,0.105677,km1,807381,738150,817180,58221,59520,57843,108,0.000489742,0.479623,0.00290935,0,0,0.135658,0.026585,0.245144
