algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
RB-Full-Judicious,16,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,48,10,0.03,0.687755,km1,51188,45697,40210,6737,7973,6693,979,0.000159631,0.236591,0.00700984,0,0,0.0256863,0.161417,0.0320916
RB-Full-Judicious,16,wb-edu.mtx.hgr,48,10,0.03,0.162047,km1,404276,273100,263597,152979,188533,152344,25762,0.020646,6.92246,0.797811,0,0,1.68283,1.85346,1.63688
RB-Full-Judicious,16,sat14_dated-10-11-u.cnf.dual.hgr,48,10,0.03,0.047354,km1,15147,12837,14280,3280,3460,3267,10,0.00192366,0.348008,0.00698864,0,0,0.0781009,0.143726,0.060926
RB-Full-Judicious,16,sat14_atco_enc1_opt1_05_21.cnf.primal.hgr,48,10,0.03,1.20242,km1,142224,122922,136290,14727,18806,14618,1031,0.000333441,0.403427,0.0134704,0,0,0.050124,0.262649,0.0589666
RB-Full-Judicious,16,sat14_MD5-28-2.cnf.dual.hgr,48,10,0.03,0.216258,km1,3748,2756,3578,251,307,249,6,0.00015268,0.121629,0.00516783,0,0,0.0149662,0.0836648,0.0120736
RB-Full-Judicious,16,Lin.mtx.hgr,48,10,0.03,0.0701162,km1,82109,73046,77699,7063,7567,7028,7,0.000594972,0.594609,0.00642155,0,0,0.0775727,0.397882,0.0776255
RB-Full-Judicious,16,ISPD98_ibm07.hgr,48,10,0.03,0.144201,km1,15268,11144,13891,1326,1692,1316,98,0.00017031,0.215449,0.00634008,0,0,0.0108671,0.171725,0.0206404
RB-Full-Judicious,16,sat14_q_query_3_L200_coli.sat.cnf.hgr,48,10,0.03,0.718313,km1,2476623,2260451,2253150,128513,204708,120094,76677,0.0342958,5.85158,0.153498,0,0,0.461306,4.34345,0.535916
RB-Full-Judicious,16,Reuters911.mtx.hgr,48,10,0.03,0.305755,km1,104398,12058,72739,2465,6946,2441,2265,0.00507878,0.682424,0.0483428,0,0,0.0110839,0.592109,0.0231169
RB-Full-Judicious,16,Rucci1.mtx.hgr,48,10,0.03,0.0611354,km1,480213,452854,457329,51389,57036,51094,108,0.000430401,0.917007,0.00584174,0,0,0.139485,0.459579,0.248778
RB-Full-Judicious,16,sat14_aaai10-planning-ipc5-pathways-17-step21.cnf.hgr,48,10,0.03,0.651535,km1,89254,86856,67770,8325,13679,8256,67,0.000504661,0.331762,0.0215615,0,0,0.0420136,0.201295,0.0436302
RB-Full-Judicious,16,sat14_gss-19-s100.cnf.hgr,48,10,0.03,0.0496183,km1,10144,9265,9478,2189,2381,2175,56,0.000141211,0.191836,0.00248893,0,0,0.0171964,0.138206,0.0250731
RB-Full-Judicious,16,H2O.mtx.hgr,48,10,0.03,0.132427,km1,190744,65196,178246,5387,6377,5336,37,0.000470731,1.79911,0.0166261,0,0,0.0914191,1.60845,0.0627693
RB-Full-Judicious,16,sat14_velev-vliw-uns-4.0-9.cnf.hgr,48,10,0.03,0.799401,km1,1502838,1149646,1120146,69419,198294,68885,17751,0.0116292,3.62863,0.213795,0,0,0.254399,2.77316,0.21163
RB-Full-Judicious,16,sat14_atco_enc2_opt1_15_100.cnf.hgr,48,10,0.03,0.971721,km1,50050,47130,41280,13217,15036,13112,517,0.000248,0.312176,0.00998278,0,0,0.0515452,0.163003,0.0636819
RB-Full-Judicious,16,sat14_q_query_3_L100_coli.sat.cnf.dual.hgr,48,10,0.03,0.195959,km1,37908,5459,36847,7378,8327,7357,11,0.00397597,1.30538,0.0254039,0,0,0.61381,0.334182,0.156079
RB-Full-Judicious,16,sat14_manol-pipe-c10nid_i.cnf.hgr,48,10,0.03,0.148071,km1,137731,131869,127063,18592,24385,18470,2067,0.00117753,0.884631,0.0124739,0,0,0.10493,0.565145,0.130669
