algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
RB-Full-Judicious,16,0-part_59-s.repeats.hgr,48,79,0.03,5.5,km1,1495,249,1107,57,108,0,57,6.3921e-05,0.0235282,0.000545442,0,0,9.892e-05,0.0210814,0.00150065
RB-Full-Judicious,16,0-part_59-l.repeats.hgr,48,79,0.03,2.58696,km1,6672,1399,5704,357,774,338,57,0.00018127,0.147927,0.00951792,0,0,0.000240412,0.13014,0.0066976
RB-Full-Judicious,16,0-part_128-0.repeats.hgr,48,79,0.03,3.11111,km1,14556,2157,12609,551,1229,497,126,0.000215711,0.129402,0.00863387,0,0,0.000303681,0.11217,0.00698586
RB-Full-Judicious,16,0-part_128-s.repeats.hgr,48,79,0.03,4.2,km1,5429,519,4818,152,215,126,126,0.00010151,0.041129,0.00156329,0,0,8.251e-05,0.0363251,0.00267404
RB-Full-Judicious,16,0-part_128-l.repeats.hgr,48,79,0.03,0.306452,km1,22936,3442,22270,975,1133,956,126,0.000201051,0.395061,0.00788396,0,0,0.000250771,0.364247,0.0183022
RB-Full-Judicious,16,0-part_404-s.repeats.hgr,48,79,0.03,5.69231,km1,18911,977,12867,495,780,402,402,0.00226089,0.239664,0.0338944,0,0,0.000152791,0.184334,0.0189853
RB-Full-Judicious,16,0-part_404-l.repeats.hgr,48,79,0.03,2.47826,km1,38480,5295,33562,1677,3225,1573,402,0.00194844,0.685249,0.0286439,0,0,0.000655592,0.606651,0.0401313
RB-Full-Judicious,16,0-part_sm_part1_170859.repeats.hgr,48,79,0.03,0.485674,km1,278118,55605,240868,9930,16036,9860,142,0.0203603,7.4682,0.129945,0,0,1.58572,4.61601,0.737479
RB-Full-Judicious,16,0-part_sm_part3_31854.repeats.hgr,48,79,0.03,0.239458,km1,214433,46341,209313,8368,10475,8304,142,0.00286541,3.33904,0.0362972,0,0,0.305581,2.79045,0.125794
RB-Full-Judicious,16,0-part_sm_part12_20753.repeats.hgr,48,79,0.03,0.235566,km1,200294,42192,192143,7612,9338,7549,142,0.000997403,2.75096,0.0429297,0,0,0.179891,2.36051,0.107477
RB-Full-Judicious,16,0-part_sm_part24_11756.repeats.hgr,48,79,0.03,0.159184,km1,162777,32812,156819,5488,6621,5446,142,0.000591082,1.82239,0.029344,0,0,0.0607938,1.64218,0.0609205
RB-Full-Judicious,16,0-part_59-s.repeats.hgr,48,54,0.03,5.5,km1,1495,249,1052,57,106,0,57,6.596e-05,0.0206779,0.000566431,0,0,9.23e-05,0.0181146,0.00160231
RB-Full-Judicious,16,0-part_59-l.repeats.hgr,48,54,0.03,3.78261,km1,6536,1354,5522,359,721,330,57,0.000248511,0.154722,0.00830322,0,0,0.000351952,0.136803,0.0079653
