algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
Block-Load-Margin-1.01,16,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,48,92,0.03,1.03367,km1,44137,39350,38012,6601,8083,6542,979,0.00021832,0.151423,0.004295,0,0,0.0274811,0.074914,0.0334607
Block-Load-Margin-1.01,16,wb-edu.mtx.hgr,48,92,0.03,0.102735,km1,358007,237520,245949,152149,187603,151374,25762,0.019124,6.20968,0.566955,0,0,1.65886,1.61392,1.43716
Block-Load-Margin-1.01,16,sat14_dated-10-11-u.cnf.dual.hgr,48,92,0.03,0.0414061,km1,12980,11428,12689,3237,3390,3221,10,0.00162609,0.277066,0.00743438,0,0,0.0768815,0.0793776,0.0599118
Block-Load-Margin-1.01,16,sat14_atco_enc1_opt1_05_21.cnf.primal.hgr,48,92,0.03,1.55887,km1,137358,114676,96201,14651,18484,14515,1031,0.000426062,0.221157,0.0120215,0,0,0.045791,0.0855833,0.0575974
Block-Load-Margin-1.01,16,sat14_MD5-28-2.cnf.dual.hgr,48,92,0.03,0.14954,km1,3908,2295,3866,255,323,253,6,0.00014191,0.0952718,0.00589145,0,0,0.0171382,0.0536403,0.0125881
Block-Load-Margin-1.01,16,Lin.mtx.hgr,48,92,0.03,0.075928,km1,84968,75666,81757,7130,7727,7086,7,0.000635882,0.346477,0.00532688,0,0,0.0725823,0.156639,0.0785043
Block-Load-Margin-1.01,16,ISPD98_ibm07.hgr,48,92,0.03,0.151515,km1,16353,11301,15089,1350,1793,1339,98,0.000200491,0.147078,0.00440263,0,0,0.0157636,0.0998025,0.0193532
Block-Load-Margin-1.01,16,sat14_q_query_3_L200_coli.sat.cnf.hgr,48,92,0.03,0.544915,km1,2533498,2338667,2301949,126432,183187,125653,76677,0.00376688,3.59883,0.108916,0,0,0.473106,2.0917,0.558656
Block-Load-Margin-1.01,16,Reuters911.mtx.hgr,48,92,0.03,0.503597,km1,104012,11806,87195,2538,4751,2352,2265,0.00280594,0.545387,0.0368176,0,0,0.0639003,0.408474,0.0214236
Block-Load-Margin-1.01,16,Rucci1.mtx.hgr,48,92,0.03,0.0628821,km1,511985,482510,487769,52095,58197,51695,108,0.000487862,0.614012,0.00391668,0,0,0.132425,0.167343,0.244741
Block-Load-Margin-1.01,16,sat14_aaai10-planning-ipc5-pathways-17-step21.cnf.hgr,48,92,0.03,0.608812,km1,82619,80764,60488,8169,14735,8120,67,0.000470042,0.221879,0.011427,0,0,0.0397428,0.101442,0.0466112
Block-Load-Margin-1.01,16,sat14_gss-19-s100.cnf.hgr,48,92,0.03,0.0541985,km1,10555,9559,10189,2200,2514,2184,56,0.00013601,0.116603,0.00180094,0,0,0.0177027,0.066768,0.0241456
Block-Load-Margin-1.01,16,H2O.mtx.hgr,48,92,0.03,0.247674,km1,214218,66074,204512,5882,7378,5829,37,0.00105485,1.22049,0.0135257,0,0,0.114753,1.00396,0.0618222
Block-Load-Margin-1.01,16,sat14_velev-vliw-uns-4.0-9.cnf.hgr,48,92,0.03,1.51572,km1,1519856,1172066,1240572,69918,179620,68104,17751,0.00379409,1.7309,0.103121,0,0,0.218112,1.02512,0.219359
Block-Load-Margin-1.01,16,sat14_atco_enc2_opt1_15_100.cnf.hgr,48,92,0.03,1.22623,km1,46639,44195,39460,13107,16436,13058,517,0.000462581,0.208861,0.00911958,0,0,0.0481039,0.0637799,0.0636833
Block-Load-Margin-1.01,16,sat14_q_query_3_L100_coli.sat.cnf.dual.hgr,48,92,0.03,0.264494,km1,38071,6098,37463,7376,8360,7365,11,0.00408377,1.1282,0.0228432,0,0,0.601156,0.181676,0.153365
Block-Load-Margin-1.01,16,sat14_manol-pipe-c10nid_i.cnf.hgr,48,92,0.03,0.106349,km1,141481,136378,132460,18860,22328,18310,2067,0.00178794,0.543791,0.0117537,0,0,0.111009,0.226418,0.126994
Block-Load-Margin-1.01,16,Baumann.mtx.hgr,48,92,0.03,0.0786997,km1,35616,32307,33070,3090,3323,3070,7,0.000297021,0.208897,0.00315688,0,0,0.0332297,0.120091,0.0381113
Block-Load-Margin-1.01,16,sat14_gss-18-s100.cnf.hgr,48,92,0.03,0.0527927,km1,10339,9432,9779,2189,2535,2173,39,0.000142651,0.120015,0.00242683,0,0,0.017691,0.0674161,0.024451
Block-Load-Margin-1.01,16,2D_54019_highK.mtx.hgr,48,92,0.03,0.0506217,km1,11723,10858,11440,1374,1485,1363,164,0.00013989,0.102977,0.00279694,0,0,0.0177214,0.057014,0.0175039
Block-Load-Margin-1.01,16,sat14_manol-pipe-c10nid_i.cnf.primal.hgr,48,92,0.03,0.0849648,km1,139336,132313,123571,18674,23243,18490,4133,0.00117244,0.414317,0.0482709,0,0,0.070407,0.16421,0.0945726
Block-Load-Margin-1.01,16,sat14_atco_enc3_opt2_10_12.cnf.hgr,48,92,0.03,0.0172193,km1,139717,138189,117532,106030,109277,105504,393,0.00444545,1.55922,0.0207329,0,0,0.48426,0.0979306,0.659261
Block-Load-Margin-1.01,16,ISPD98_ibm09.hgr,48,92,0.03,0.177898,km1,14305,10846,13578,1572,1896,1561,173,0.000208311,0.142984,0.00356855,0,0,0.0159651,0.0939676,0.0218699
Block-Load-Margin-1.01,16,shock-9.mtx.hgr,48,92,0.03,0.0381579,km1,4348,4175,4163,853,912,848,4,9.461e-05,0.0811164,0.00248391,0,0,0.00984022,0.0497629,0.0140389
Block-Load-Margin-1.01,16,sat14_SAT_dat.k100-24_1_rule_2.cnf.primal.hgr,48,92,0.03,0.0886436,km1,139060,137665,92754,135903,143160,134936,587,0.00351685,1.42933,0.0264472,0,0,0.368746,0.100998,0.678574
Block-Load-Margin-1.01,16,human_gene2.mtx.hgr,48,92,0.03,1.04013,km1,426309,13897,341148,9223,11915,9139,7229,0.062173,11.3395,0.573355,0,0,2.50922,7.15842,0.596349
Block-Load-Margin-1.01,16,TSOPF_FS_b162_c3.mtx.hgr,48,92,0.03,0.619938,km1,115882,18450,83532,15086,15683,1417,15054,0.0166431,0.653537,0.178102,0,0,0.0766571,0.307082,0.043458
Block-Load-Margin-1.01,16,sat14_UCG-20-5p0.cnf.dual.hgr,48,92,0.03,0.0832057,km1,20822,16435,18934,5113,5696,5111,10,0.004356,0.505143,0.0163658,0,0,0.16228,0.126363,0.112302
Block-Load-Margin-1.01,16,sat14_ACG-20-10p1.cnf.hgr,48,92,0.03,0.038227,km1,80830,78661,75312,35837,36918,35647,43,0.00279543,0.60669,0.0090502,0,0,0.149414,0.139875,0.206653
Block-Load-Margin-1.01,16,sat14_atco_enc1_opt1_10_21.cnf.dual.hgr,48,92,0.03,0.673401,km1,9882,6566,7788,1190,1784,1179,11,0.000986313,0.290109,0.0132503,0,0,0.141195,0.0771765,0.0317117
Block-Load-Margin-1.01,16,coupled.mtx.hgr,48,92,0.03,0.540084,km1,10312,6502,10008,3094,3204,350,3090,0.00163393,0.117296,0.00407898,0,0,0.00556248,0.0973173,0.00771933
Block-Load-Margin-1.01,16,sat14_UTI-20-10p1.cnf.dual.hgr,48,92,0.03,0.109608,km1,13726,12802,12439,5713,6185,5708,10,0.00307379,0.560252,0.014416,0,0,0.185655,0.130055,0.129383
Block-Load-Margin-1.01,16,sat14_atco_enc1_opt2_10_12.cnf.primal.hgr,48,92,0.03,1.01515,km1,34314,29453,27307,3812,4469,3776,979,0.00010023,0.195058,0.00616692,0,0,0.0132825,0.149845,0.0208051
Block-Load-Margin-1.01,16,bloweya.mtx.hgr,48,92,0.03,0.482428,km1,10766,10366,10498,10216,10476,630,10001,0.00467176,0.0905724,0.0136291,0,0,0.0112336,0.046864,0.0130696
Block-Load-Margin-1.01,16,ckt11752_dc_1.mtx.hgr,48,92,0.03,0.182432,km1,16090,13411,14612,2921,3864,1122,2921,0.00115642,0.124321,0.00460584,0,0,0.016312,0.0750005,0.0208364
Block-Load-Margin-1.01,16,sat14_AProVE07-27.cnf.dual.hgr,48,92,0.03,0.0952381,km1,2024,971,1860,204,268,202,201,0.000114521,0.0677786,0.00158,0,0,0.00841649,0.0465666,0.00718507
Block-Load-Margin-1.01,16,sat14_SAT_dat.k80-24_1_rule_1.cnf.primal.hgr,48,92,0.03,0.121349,km1,133913,132772,107607,108973,113369,108342,587,0.0031762,1.16873,0.0203959,0,0,0.295772,0.102514,0.539574
Block-Load-Margin-1.01,16,sat14_MD5-28-1.cnf.dual.hgr,48,92,0.03,0.0973926,km1,3985,2328,3877,256,335,254,6,0.00014326,0.0924019,0.00565858,0,0,0.0159174,0.0517296,0.0128363
Block-Load-Margin-1.01,16,sat14_atco_enc1_opt1_15_240.cnf.primal.hgr,48,92,0.03,1.07704,km1,221752,180556,171029,18137,38363,17959,1031,0.000884483,0.243906,0.0104304,0,0,0.052023,0.0932775,0.066666
Block-Load-Margin-1.01,16,viscoplastic2.mtx.hgr,48,92,0.03,0.24451,km1,26099,19454,23924,1232,1404,1220,93,0.000198641,0.182856,0.0041669,0,0,0.0202658,0.139537,0.0129098
Block-Load-Margin-1.01,16,sat14_atco_enc2_opt1_05_21.cnf.primal.hgr,48,92,0.03,2.1944,km1,134882,113233,107289,13874,17575,13738,1031,0.000402021,0.210358,0.0146837,0,0,0.0391789,0.0782559,0.0614331
Block-Load-Margin-1.01,16,scircuit.mtx.hgr,48,92,0.03,0.0311535,km1,6982,6363,6278,3726,3875,3698,353,0.000468611,0.175651,0.00260606,0,0,0.0400383,0.0664976,0.0455462
Block-Load-Margin-1.01,16,sat14_6s10.cnf.primal.hgr,48,92,0.03,0.212164,km1,23619,22459,23068,3255,4600,2281,2652,0.000769523,0.126324,0.00273729,0,0,0.0152721,0.0819138,0.0205349
Block-Load-Margin-1.01,16,sat14_9vliw_m_9stages_iq3_C1_bug7.cnf.primal.hgr,48,92,0.03,0.412691,km1,11357249,9011902,8607941,518352,1824267,513668,220932,0.0389217,11.455,0.419526,0,0,1.47707,6.37407,1.91761
Block-Load-Margin-1.01,16,airfoil_2d.mtx.hgr,48,92,0.03,0.104377,km1,6702,5499,6394,437,478,432,23,7.9701e-05,0.0983761,0.0059686,0,0,0.00872473,0.071022,0.0100587
Block-Load-Margin-1.01,16,sat14_atco_enc1_opt2_10_16.cnf.dual.hgr,48,92,0.03,0.619541,km1,6019,3957,5171,328,682,325,11,0.000234531,0.240575,0.0089105,0,0,0.126637,0.0723096,0.0181945
Block-Load-Margin-1.01,16,sat14_gss-20-s100.cnf.dual.hgr,48,92,0.03,0.0253293,km1,2283,1587,2185,706,726,702,3,0.0002202,0.0947722,0.00168712,0,0,0.013721,0.0529491,0.0180256
Block-Load-Margin-1.01,16,sat14_atco_enc1_opt2_05_4.cnf.dual.hgr,48,92,0.03,0.596321,km1,11910,6957,10407,556,1463,551,15,0.00117998,0.618617,0.0195141,0,0,0.412565,0.110882,0.0362915
Block-Load-Margin-1.01,16,bayer04.mtx.hgr,48,92,0.03,0.0792541,km1,3049,2782,2774,493,546,490,43,4.685e-05,0.0794956,0.00232349,0,0,0.00666271,0.0582435,0.00933274
Block-Load-Margin-1.01,16,sat14_countbitssrl032.cnf.primal.hgr,48,92,0.03,0.146907,km1,11924,11326,11255,1416,1660,1403,255,4.856e-05,0.0834078,0.0025814,0,0,0.00643118,0.0586366,0.0126059
Block-Load-Margin-1.01,16,dac2012_superblue6.hgr,48,92,0.03,0.113868,km1,76168,60311,73348,22627,25215,22529,1689,0.00230524,0.857394,0.0131108,0,0,0.226562,0.238815,0.230675
Block-Load-Margin-1.01,16,shermanACb.mtx.hgr,48,92,0.03,0.202073,km1,27298,14482,26308,10405,10459,483,10405,0.00339536,0.132664,0.00343064,0,0,0.0138064,0.0971207,0.0121547
Block-Load-Margin-1.01,16,sat14_6s16.cnf.hgr,48,92,0.03,0.135671,km1,26106,24201,23887,2503,3269,2418,1346,0.000514401,0.167378,0.0145825,0,0,0.0174699,0.103268,0.0237909
