algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
Block-Load-Margin-1.01,16,0-part_59-s.repeats.hgr,48,104,0.03,5.5,km1,1495,249,989,57,103,0,57,6.73e-05,0.019977,0.000571312,0,0,8.086e-05,0.0176825,0.00136322
Block-Load-Margin-1.01,16,0-part_59-l.repeats.hgr,48,104,0.03,1.56522,km1,6671,1343,5211,360,953,333,57,0.000471641,0.13681,0.0113418,0,0,0.000394481,0.115935,0.00789847
Block-Load-Margin-1.01,16,0-part_128-0.repeats.hgr,48,104,0.03,4.05556,km1,14240,2156,12614,545,1179,486,126,0.000329961,0.115533,0.00743009,0,0,0.000115341,0.100038,0.00672462
Block-Load-Margin-1.01,16,0-part_128-s.repeats.hgr,48,104,0.03,4,km1,5466,496,4837,158,216,126,126,0.000108991,0.0342744,0.00126406,0,0,7.213e-05,0.0298404,0.00261656
Block-Load-Margin-1.01,16,0-part_128-l.repeats.hgr,48,104,0.03,0.33871,km1,23553,3290,22864,991,1371,962,126,0.000397772,0.271825,0.00858936,0,0,0.00987398,0.232454,0.0145443
Block-Load-Margin-1.01,16,0-part_404-s.repeats.hgr,48,104,0.03,3.84615,km1,18691,962,14601,476,690,402,402,0.00103867,0.183381,0.0144055,0,0,0.000153231,0.147999,0.0183749
Block-Load-Margin-1.01,16,0-part_404-l.repeats.hgr,48,104,0.03,1.82609,km1,38392,5286,33646,1662,3086,1608,402,0.000638433,0.635405,0.0286525,0,0,0.000642663,0.556862,0.0399601
Block-Load-Margin-1.01,16,0-part_sm_part1_170859.repeats.hgr,48,104,0.03,0.347191,km1,313338,53041,295998,10661,14529,10601,142,0.00358076,4.99551,0.0620654,0,0,1.81925,1.91801,0.740821
Block-Load-Margin-1.01,16,0-part_sm_part3_31854.repeats.hgr,48,104,0.03,0.221386,km1,225204,43953,215247,8592,9870,8515,142,0.00106891,2.41518,0.0328549,0,0,0.638367,1.49107,0.148582
Block-Load-Margin-1.01,16,0-part_sm_part12_20753.repeats.hgr,48,104,0.03,0.251732,km1,205890,39773,198833,7737,9168,7663,142,0.000847413,2.03539,0.0242918,0,0,0.420258,1.39001,0.132737
Block-Load-Margin-1.01,16,0-part_sm_part24_11756.repeats.hgr,48,104,0.03,0.187755,km1,169920,31427,166271,5643,6591,5594,142,0.000396552,1.37756,0.0168404,0,0,0.214845,1.0435,0.0661187
Block-Load-Margin-1.05,16,0-part_59-s.repeats.hgr,48,104,0.03,5.5,km1,1495,249,1016,57,109,0,57,6.692e-05,0.0204278,0.000590162,0,0,8.11e-05,0.0178572,0.00157807
Block-Load-Margin-1.05,16,0-part_59-l.repeats.hgr,48,104,0.03,1.93478,km1,6923,1372,5748,363,940,345,57,0.000474092,0.133526,0.00869898,0,0,0.000196331,0.116419,0.00695768
Block-Load-Margin-1.05,16,0-part_128-0.repeats.hgr,48,104,0.03,1.66667,km1,14269,2142,12811,543,1118,495,126,0.000269541,0.111406,0.00691532,0,0,0.000130011,0.0960061,0.0071615
Block-Load-Margin-1.05,16,0-part_128-s.repeats.hgr,48,104,0.03,3.4,km1,5433,516,4529,154,242,126,126,0.00016523,0.0348799,0.0015448,0,0,7.7541e-05,0.0303031,0.00247867
Block-Load-Margin-1.05,16,0-part_128-l.repeats.hgr,48,104,0.03,0.564516,km1,23088,3299,22417,979,1154,933,126,0.000513972,0.270778,0.0073682,0,0,0.0105837,0.230187,0.0164103
Block-Load-Margin-1.05,16,0-part_404-s.repeats.hgr,48,104,0.03,10.0769,km1,18591,965,16200,471,625,402,402,0.00104569,0.191003,0.0326061,0,0,0.000151481,0.13723,0.018324
Block-Load-Margin-1.05,16,0-part_404-l.repeats.hgr,48,104,0.03,1.67391,km1,39518,5390,33808,1698,3361,1637,402,0.00187439,0.629797,0.0297327,0,0,0.000455512,0.557259,0.0329039
Block-Load-Margin-1.05,16,0-part_sm_part1_170859.repeats.hgr,48,104,0.03,0.517978,km1,274127,52130,254146,9848,14705,9774,142,0.00694473,5.26717,0.0702443,0,0,1.97022,2.0047,0.789461
Block-Load-Margin-1.05,16,0-part_sm_part3_31854.repeats.hgr,48,104,0.03,0.254518,km1,221738,43642,214617,8527,9976,8453,142,0.00358603,2.46264,0.0290029,0,0,0.641505,1.56429,0.124454
