algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
Min-Load-Ratio-1.01,16,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,48,92,0.03,1.13367,km1,40984,38056,37304,6511,8079,6484,979,0.00013539,0.149541,0.00492844,0,0,0.0245401,0.0758332,0.0321988
Min-Load-Ratio-1.01,16,wb-edu.mtx.hgr,48,92,0.03,0.110955,km1,340232,223756,248262,151713,198004,151030,25762,0.0245543,6.2882,0.628854,0,0,1.64518,1.46244,1.62189
Min-Load-Ratio-1.01,16,sat14_dated-10-11-u.cnf.dual.hgr,48,92,0.03,0.0446851,km1,12709,10952,12429,3228,3357,3217,10,0.00152399,0.272596,0.00644039,0,0,0.0778741,0.0761609,0.0581415
Min-Load-Ratio-1.01,16,sat14_atco_enc1_opt1_05_21.cnf.primal.hgr,48,92,0.03,1.44113,km1,129690,111844,121797,14493,20469,14371,1031,0.000191061,0.224384,0.00665826,0,0,0.0467511,0.0857257,0.0654418
Min-Load-Ratio-1.01,16,sat14_MD5-28-2.cnf.dual.hgr,48,92,0.03,0.108129,km1,3934,2403,3898,255,296,253,6,0.000154491,0.0901015,0.00470927,0,0,0.0153084,0.0511235,0.0131493
Min-Load-Ratio-1.01,16,Lin.mtx.hgr,48,92,0.03,0.0738658,km1,86058,76742,83070,7158,7823,7099,7,0.000585991,0.34284,0.00578462,0,0,0.07156,0.153686,0.0791149
Min-Load-Ratio-1.01,16,ISPD98_ibm07.hgr,48,92,0.03,0.210031,km1,16342,11564,15152,1349,1730,1339,98,0.00019399,0.143961,0.0045842,0,0,0.0138124,0.098265,0.0198908
Min-Load-Ratio-1.01,16,sat14_q_query_3_L200_coli.sat.cnf.hgr,48,92,0.03,0.75652,km1,2557771,2302570,2288699,134402,171073,112226,76677,0.0429857,3.92901,0.10307,0,0,0.465915,2.43498,0.567451
Min-Load-Ratio-1.01,16,Reuters911.mtx.hgr,48,92,0.03,0.417266,km1,103944,11856,86057,2634,4907,2285,2265,0.0023607,0.54014,0.0345117,0,0,0.0634303,0.406101,0.0211739
Min-Load-Ratio-1.01,16,Rucci1.mtx.hgr,48,92,0.03,0.0528384,km1,522982,495257,508584,52331,58242,51928,108,0.000489742,0.612296,0.00395503,0,0,0.135436,0.159277,0.248321
Min-Load-Ratio-1.01,16,sat14_aaai10-planning-ipc5-pathways-17-step21.cnf.hgr,48,92,0.03,0.442368,km1,81482,79557,56247,8153,14505,8100,67,0.000228331,0.227112,0.0127807,0,0,0.0425223,0.1008,0.0462326
Min-Load-Ratio-1.01,16,sat14_gss-19-s100.cnf.hgr,48,92,0.03,0.0557252,km1,10930,9881,10467,2204,2428,2192,56,0.000139101,0.123534,0.00294301,0,0,0.0194501,0.0678124,0.0248513
Min-Load-Ratio-1.01,16,H2O.mtx.hgr,48,92,0.03,0.314245,km1,209627,65859,203102,5785,6955,5740,37,0.00034865,1.25777,0.0176167,0,0,0.113739,1.03709,0.060365
Min-Load-Ratio-1.01,16,sat14_velev-vliw-uns-4.0-9.cnf.hgr,48,92,0.03,0.597305,km1,1483907,1136717,1234360,73216,166151,64254,17751,0.00812351,1.75096,0.113237,0,0,0.225997,1.02659,0.218901
Min-Load-Ratio-1.01,16,sat14_atco_enc2_opt1_15_100.cnf.hgr,48,92,0.03,1.64057,km1,74896,69802,47210,13738,17197,13620,517,0.000426792,0.225883,0.0168661,0,0,0.0458489,0.0713878,0.0666737
Min-Load-Ratio-1.01,16,sat14_q_query_3_L100_coli.sat.cnf.dual.hgr,48,92,0.03,0.20715,km1,40424,5941,39609,7425,8024,7414,11,0.0067266,1.16101,0.0234196,0,0,0.607304,0.192183,0.161301
Min-Load-Ratio-1.01,16,sat14_manol-pipe-c10nid_i.cnf.hgr,48,92,0.03,0.0983653,km1,140377,135292,131661,18642,23582,18521,2067,0.00119487,0.546039,0.0111891,0,0,0.108921,0.226941,0.131162
Min-Load-Ratio-1.01,16,Baumann.mtx.hgr,48,92,0.03,0.066296,km1,34351,31358,32567,3065,3255,3044,7,0.000245331,0.209756,0.00285825,0,0,0.0323735,0.124041,0.0370543
Min-Load-Ratio-1.01,16,sat14_gss-18-s100.cnf.hgr,48,92,0.03,0.0520275,km1,10127,9102,9702,2184,2456,2169,39,0.00015179,0.119995,0.00219859,0,0,0.0188212,0.0659335,0.0241937
