algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
Min-Load-Ratio-1.01,16,0-part_59-s.repeats.hgr,48,104,0.03,5.5,km1,1495,249,1047,57,128,0,57,6.4861e-05,0.0200139,0.000568042,0,0,7.165e-05,0.0176277,0.00143925
Min-Load-Ratio-1.01,16,0-part_59-l.repeats.hgr,48,104,0.03,2.47826,km1,6891,1367,5675,363,877,346,57,0.00015575,0.13365,0.00899031,0,0,0.000380902,0.115503,0.00744444
Min-Load-Ratio-1.01,16,0-part_128-0.repeats.hgr,48,104,0.03,2.38889,km1,14099,2133,12541,537,1187,488,126,0.000613603,0.112718,0.00778102,0,0,0.000141161,0.0968181,0.00675024
Min-Load-Ratio-1.01,16,0-part_128-s.repeats.hgr,48,104,0.03,7.4,km1,5452,523,4504,152,258,126,126,0.000122591,0.0406325,0.00397776,0,0,8.771e-05,0.0335259,0.00256269
Min-Load-Ratio-1.01,16,0-part_128-l.repeats.hgr,48,104,0.03,0.354839,km1,23534,3238,22745,987,1162,972,126,0.00017227,0.270307,0.00621195,0,0,0.0104248,0.231964,0.0153661
Min-Load-Ratio-1.01,16,0-part_404-s.repeats.hgr,48,104,0.03,3.30769,km1,18830,996,14415,485,772,402,402,0.00337081,0.183794,0.015417,0,0,0.00014132,0.146784,0.0189775
Min-Load-Ratio-1.01,16,0-part_404-l.repeats.hgr,48,104,0.03,2.45652,km1,38713,5456,33352,1691,3281,1585,402,0.00131138,0.60717,0.0268819,0,0,0.000697822,0.531127,0.0393792
Min-Load-Ratio-1.01,16,0-part_sm_part1_170859.repeats.hgr,48,104,0.03,0.44382,km1,305323,53148,284739,10497,14488,10424,142,0.00246152,4.98224,0.0629636,0,0,1.82718,1.98632,0.656065
Min-Load-Ratio-1.01,16,0-part_sm_part3_31854.repeats.hgr,48,104,0.03,0.445783,km1,219717,43468,216690,8478,10128,8400,142,0.00156558,2.4031,0.0261209,0,0,0.63164,1.51615,0.125596
Min-Load-Ratio-1.01,16,0-part_sm_part12_20753.repeats.hgr,48,104,0.03,0.152425,km1,205261,40029,199932,7713,9186,7654,142,0.000788953,2.00522,0.0251498,0,0,0.421409,1.35357,0.136866
Min-Load-Ratio-1.01,16,0-part_sm_part24_11756.repeats.hgr,48,104,0.03,0.163265,km1,171691,31459,166486,5678,6592,5623,142,0.000614682,1.31502,0.0170367,0,0,0.211315,0.996483,0.0537862
Min-Load-Ratio-1.05,16,0-part_59-s.repeats.hgr,48,104,0.03,5.5,km1,1552,236,1073,57,110,0,57,6.697e-05,0.0196775,0.000618173,0,0,7.959e-05,0.0174074,0.00129017
Min-Load-Ratio-1.05,16,0-part_59-l.repeats.hgr,48,104,0.03,2.34783,km1,6713,1359,5434,359,775,344,57,0.000275581,0.134603,0.00861768,0,0,0.000380401,0.116215,0.00810025
Min-Load-Ratio-1.05,16,0-part_128-0.repeats.hgr,48,104,0.03,4,km1,14291,2146,12334,540,1137,478,126,0.000401092,0.114746,0.00920643,0,0,0.000145361,0.097006,0.00720033
Min-Load-Ratio-1.05,16,0-part_128-s.repeats.hgr,48,104,0.03,4.2,km1,5443,523,4603,159,213,126,126,0.000104971,0.0352781,0.00120724,0,0,7.434e-05,0.0309916,0.00253789
Min-Load-Ratio-1.05,16,0-part_128-l.repeats.hgr,48,104,0.03,0.580645,km1,23442,3199,22606,994,1193,962,126,0.000239301,0.275077,0.00506397,0,0,0.0107683,0.235189,0.0177461
Min-Load-Ratio-1.05,16,0-part_404-s.repeats.hgr,48,104,0.03,6.30769,km1,18833,1004,15126,486,668,402,402,0.00104895,0.177867,0.0147396,0,0,0.000143261,0.141648,0.0187446
Min-Load-Ratio-1.05,16,0-part_404-l.repeats.hgr,48,104,0.03,3.52174,km1,38235,5230,33595,1679,3406,1558,402,0.00220787,0.631673,0.0280277,0,0,0.000279462,0.553902,0.0399251
Min-Load-Ratio-1.05,16,0-part_sm_part1_170859.repeats.hgr,48,104,0.03,0.500843,km1,279634,52170,253781,10028,13760,9783,142,0.0108,5.55106,0.08362,0,0,2.00231,2.05683,0.952448
Min-Load-Ratio-1.05,16,0-part_sm_part3_31854.repeats.hgr,48,104,0.03,0.21988,km1,220331,43082,213975,8550,10093,8282,142,0.00175628,2.46397,0.0202975,0,0,0.631876,1.58369,0.125703
Min-Load-Ratio-1.05,16,0-part_sm_part12_20753.repeats.hgr,48,104,0.03,0.200924,km1,203364,39925,197070,7780,8960,7459,142,0.000650733,2.01225,0.0175741,0,0,0.420863,1.41144,0.094502
Min-Load-Ratio-1.05,16,0-part_sm_part24_11756.repeats.hgr,48,104,0.03,0.191837,km1,171079,31380,167109,5752,6902,5493,142,0.000500832,1.34287,0.0148116,0,0,0.209454,1.01652,0.0654333
Min-Load-Ratio-1.1,16,0-part_59-s.repeats.hgr,48,104,0.03,5.5,km1,1552,236,1063,57,96,0,57,6.476e-05,0.0186546,0.000569192,0,0,9.062e-05,0.0163507,0.00137685
Min-Load-Ratio-1.1,16,0-part_59-l.repeats.hgr,48,104,0.03,2.21739,km1,6624,1305,5500,364,803,328,57,0.000171601,0.13208,0.0075726,0,0,0.00013747,0.11663,0.00649008
Min-Load-Ratio-1.1,16,0-part_128-0.repeats.hgr,48,104,0.03,4.38889,km1,14404,2139,12227,539,1145,489,126,0.000359062,0.110993,0.0082418,0,0,0.00018374,0.0946743,0.00664507
Min-Load-Ratio-1.1,16,0-part_128-s.repeats.hgr,48,104,0.03,3,km1,5465,516,4354,160,229,126,126,9.53e-05,0.0347145,0.00127605,0,0,8.5411e-05,0.0302178,0.00268643
Min-Load-Ratio-1.1,16,0-part_128-l.repeats.hgr,48,104,0.03,0.290323,km1,23217,3324,22584,1008,1331,918,126,0.000420652,0.265175,0.00278943,0,0,0.0101286,0.230327,0.0156953
Min-Load-Ratio-1.1,16,0-part_404-s.repeats.hgr,48,104,0.03,5.61538,km1,18703,976,14495,491,766,402,402,0.00243261,0.181552,0.0136614,0,0,0.000141641,0.146714,0.0186052
Min-Load-Ratio-1.1,16,0-part_404-l.repeats.hgr,48,104,0.03,1.36957,km1,38241,5449,33313,1703,3245,1561,402,0.000729793,0.619819,0.026504,0,0,0.00111868,0.542887,0.0400628
Min-Load-Ratio-1.1,16,0-part_sm_part1_170859.repeats.hgr,48,104,0.03,0.290169,km1,292429,51959,259349,10468,14272,9917,142,0.0149174,5.16811,0.0879564,0,0,1.96255,1.92971,0.733348
